Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Сахарный скраб Самокат, Citrus Shine, мерцающий, цитрус и манго, 250 мл",https://samokat.ru/product/96bb04e8-dfc9-11ee-b973-08c0eb32008b,https://cm.samokat.ru/processed/m/product_card/a9d62183-7db4-46fd-92b8-42614e5cca66.jpeg,369,469
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Солнцезащитные средства,"Солнцезащитный крем Holika Holika, SPF 50+, PA ++++, водостойкий, с алоэ, 70 мл",https://samokat.ru/product/0faa533c-d222-11ed-b970-08c0eb32008b,https://cm.samokat.ru/processed/m/public/3886c40b05a3b207_0faa533c-d222-11ed-b970-08c0eb32008b.jpg,949,1582
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Солнцезащитные средства,"Крем солнцезащитный Гадкий я детский, SPF 30+, водостойкий, 75 мл",https://samokat.ru/product/krem-solncezaschitnyj-gadkij-ya-detskij-spf-30-vodostojkij-75-ml,https://cm.samokat.ru/processed/m/public/f8e023d1ba39930d_4650092453008.jpg,179,179
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Солнцезащитные средства,"Гель для тела Holika Holika Aloe 99%, многофункциональный, 250 мл",https://samokat.ru/product/gel-dlya-tela-holika-holika-aloe-99percent-mnogofunkcionalnyj-250-ml,https://cm.samokat.ru/processed/m/public/b81c4413741322bb_8806334370435.jpg,440,830
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Солнцезащитные средства,"Лосьон для тела Dove, Сияние лета, с эффектом автозагара, увлажняющий, 200 мл",https://samokat.ru/product/27acc8a6-c271-11ed-885d-08c0eb32014b,https://cm.samokat.ru/processed/m/public/791674cd37775551_8720633006737.jpg,299,498
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Макияж,"Палетка теней Vivienne Sabo Metamourphoses Romantique, 02, 12 оттенков, 1 шт.",https://samokat.ru/product/d36143be-4b97-11ec-a0ee-ec0d9a21b021,https://cm.samokat.ru/processed/m/original/216725_1867339132.jpg,219,997
"Ростов-на-Дону, Орбитальная, 74",Электроника,Зарядки и кабели,"Кабель Type-C-Lightning Red Line белый, 1 шт.",https://samokat.ru/product/7200842e-012e-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/cf507665-4f48-458c-bc60-42fd6fcd7f24.jpg,249,249
"Ростов-на-Дону, Орбитальная, 74",Электроника,Зарядки и кабели,Кабель USB-Type-C Red Line белый,https://samokat.ru/product/5f505acf-012e-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/cfb8525a-b39b-4b1d-b56e-d6ee6be98108.jpg,199,199
"Ростов-на-Дону, Орбитальная, 74",Электроника,Удлинители и фильтры,"Удлинитель электрический Эра UX-3es-3m на 3 розетки, с выключателем, с заземлением, 3 м, 1 шт.",https://samokat.ru/product/udlinitel-elektricheskij-era-ux-3es-3m-na-3-rozetki-s-vyklyuchatelem-s-zazemleniem-3-m-1-sht,https://cm.samokat.ru/processed/m/public/a604e0731382d900_5056183745042.jpg,679,679
"Ростов-на-Дону, Орбитальная, 74",Электроника,Наушники и гарнитуры,"Наушники Red Line SP17, белые",https://samokat.ru/product/041cc645-012f-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/4680199d-dcd7-4413-b3d7-3a56bbc56fdf.jpg,249,249
"Ростов-на-Дону, Орбитальная, 74",Электроника,Наушники и гарнитуры,"Наушники Red Line SP08, чёрные",https://samokat.ru/product/100de28a-012f-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/5e64f567-2a7b-4516-8c01-7de9a5097bc9.jpg,249,249
"Ростов-на-Дону, Орбитальная, 74",Электроника,Уход и здоровье,"Насадки для электрической зубной щётки Oral-B Cross Action Clean Maximiser белые, 2 шт.",https://samokat.ru/product/e5f02cb8-b9d7-11ed-b109-08c0eb31fffb,https://cm.samokat.ru/processed/m/public/284d35a851a4a151_e5f02cb8-b9d7-11ed-b109-08c0eb31fffb.jpg,1019,1299
"Ростов-на-Дону, Орбитальная, 74",Электроника,Батарейки,"Батарейки GP Super Alkaline, АА, 4 шт.",https://samokat.ru/product/batarejki-gp-super-alkaline-aa-4-sht,https://cm.samokat.ru/processed/m/public/47ee1099edafbbf3_4891199000034.jpg,299,299
